Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
3,MTR-APK-0003,Business,Business,Team Operations,Payroll,Expense,2026-02-28,00:36:32,2026-02-28 00:36:32,150101.63,INR,-150101.63,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 150101.63,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0003,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 150101.63,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1467,MTR-APK-1467,Business,Business,Team Operations,Training,Expense,2026-06-26,11:04:15,2026-06-26 11:04:15,4592.89,INR,-4592.89,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1467 | Training | 4592.89,Android,B30,RAMP_501_1500,CREATED,idem-20260902-apk-1467,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Training,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1467 | Training | 4592.89,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1470,MTR-APK-1470,Business,Business,Team Operations,Tools,Expense,2026-07-19,08:07:33,2026-07-19 08:07:33,9865.15,INR,-9865.15,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1470 | Tools | 9865.15,Android,B30,RAMP_501_1500,CREATED,idem-20260902-apk-1470,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tools,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1470 | Tools | 9865.15,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1473,MTR-APK-1473,Business,Business,Business Runway,Funding,Income,2025-10-23,16:13:33,2025-10-23 16:13:33,167852.15,INR,167852.15,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1473 | Funding | 167852.15,Android,B30,RAMP_501_1500,CREATED,idem-20260902-apk-1473,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Funding,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1473 | Funding | 167852.15,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
1476,MTR-APK-1476,Business,Business,Business Runway,Revenue,Income,2026-05-28,21:16:35,2026-05-28 21:16:35,178445.63,INR,178445.63,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1476 | Revenue | 178445.63,Android,B30,RAMP_501_1500,CREATED,idem-20260902-apk-1476,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Revenue,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1476 | Revenue | 178445.63,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
1479,MTR-APK-1479,Business,Business,Business Runway,Burn,Expense,2026-01-30,17:12:17,2026-01-30 17:12:17,367.85,INR,-367.85,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1479 | Burn | 367.85,Android,B30,RAMP_501_1500,CREATED,idem-20260902-apk-1479,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,business.expense.amount,business.expense.note,business.expense.submit,,Burn,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1479 | Burn | 367.85,JOINED,Runway Log Expense
1482,MTR-APK-1482,Business,Business,Business Runway,Reserve,Transfer,2025-11-23,19:32:35,2025-11-23 19:32:35,166434.95,INR,0.0,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1482 | Reserve | 166434.95,Android,B30,RAMP_501_1500,CREATED,idem-20260902-apk-1482,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,,,,,Reserve,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1482 | Reserve | 166434.95,JOINED_REVIEW,Reserve transfer → Runway expense/movement proxy — REVIEW
1485,MTR-APK-1485,Business,Business,Business Runway,Loan,Income,2025-12-27,05:03:51,2025-12-27 05:03:51,105253.24,INR,105253.24,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1485 | Loan | 105253.24,Android,B30,RAMP_501_1500,CREATED,idem-20260902-apk-1485,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Loan,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1485 | Loan | 105253.24,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
1488,MTR-APK-1488,Business,Business,Business Runway,Investment,Income,2026-06-27,22:27:25,2026-06-27 22:27:25,34246.13,INR,34246.13,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1488 | Investment | 34246.13,Android,B30,RAMP_501_1500,CREATED,idem-20260902-apk-1488,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Investment,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1488 | Investment | 34246.13,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
1491,MTR-APK-1491,Business,Business,Business Operations,Software,Expense,2026-04-20,16:11:51,2026-04-20 16:11:51,19429.78,INR,-19429.78,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1491 | Software | 19429.78,Android,B30,RAMP_501_1500,CREATED,idem-20260902-apk-1491,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Software,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1491 | Software | 19429.78,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1494,MTR-APK-1494,Business,Business,Business Operations,Rent,Expense,2026-02-02,11:19:31,2026-02-02 11:19:31,174682.83,INR,-174682.83,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1494 | Rent | 174682.83,Android,B30,RAMP_501_1500,CREATED,idem-20260902-apk-1494,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Rent,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1494 | Rent | 174682.83,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1497,MTR-APK-1497,Business,Business,Business Operations,Marketing,Expense,2026-06-14,06:09:00,2026-06-14 06:09:00,123941.14,INR,-123941.14,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1497 | Marketing | 123941.14,Android,B30,RAMP_501_1500,CREATED,idem-20260902-apk-1497,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Marketing,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1497 | Marketing | 123941.14,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1500,MTR-APK-1500,Business,Business,Business Operations,Legal,Expense,2026-06-23,00:36:42,2026-06-23 00:36:42,140022.72,INR,-140022.72,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1500 | Legal | 140022.72,Android,B30,RAMP_501_1500,CREATED,idem-20260902-apk-1500,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Legal,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1500 | Legal | 140022.72,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1503,MTR-APK-1503,Business,Business,Business Operations,Accounting,Expense,2026-03-19,20:22:13,2026-03-19 20:22:13,102557.62,INR,-102557.62,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1503 | Accounting | 102557.62,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1503,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Accounting,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1503 | Accounting | 102557.62,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1506,MTR-APK-1506,Business,Business,Business Operations,Equipment,Expense,2025-11-05,16:41:51,2025-11-05 16:41:51,130436.79,INR,-130436.79,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1506 | Equipment | 130436.79,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1506,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Equipment,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1506 | Equipment | 130436.79,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1509,MTR-APK-1509,Business,Business,Business Operations,Vendor,Expense,2026-05-21,05:36:12,2026-05-21 05:36:12,101254.14,INR,-101254.14,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1509 | Vendor | 101254.14,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1509,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Vendor,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1509 | Vendor | 101254.14,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1512,MTR-APK-1512,Business,Business,Business Operations,Tax,Expense,2025-10-29,17:11:30,2025-10-29 17:11:30,116554.58,INR,-116554.58,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1512 | Tax | 116554.58,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1512,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tax,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1512 | Tax | 116554.58,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1515,MTR-APK-1515,Business,Business,Team Operations,Payroll,Expense,2026-07-16,10:58:29,2026-07-16 10:58:29,43739.8,INR,-43739.8,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1515 | Payroll | 43739.80,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1515,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1515 | Payroll | 43739.80,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1518,MTR-APK-1518,Business,Business,Team Operations,Contractor,Expense,2026-07-16,11:52:27,2026-07-16 11:52:27,140563.45,INR,-140563.45,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1518 | Contractor | 140563.45,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1518,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Contractor,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1518 | Contractor | 140563.45,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1521,MTR-APK-1521,Business,Business,Team Operations,Hiring,Expense,2026-02-26,22:15:43,2026-02-26 22:15:43,8559.17,INR,-8559.17,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1521 | Hiring | 8559.17,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1521,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Hiring,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1521 | Hiring | 8559.17,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1524,MTR-APK-1524,Business,Business,Team Operations,Team Meal,Expense,2026-07-11,11:48:53,2026-07-11 11:48:53,156721.85,INR,-156721.85,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1524 | Team Meal | 156721.85,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1524,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Team Meal,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1524 | Team Meal | 156721.85,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1527,MTR-APK-1527,Business,Business,Team Operations,Travel,Expense,2026-01-30,05:38:01,2026-01-30 05:38:01,42723.08,INR,-42723.08,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1527 | Travel | 42723.08,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1527,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Travel,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1527 | Travel | 42723.08,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1530,MTR-APK-1530,Business,Business,Team Operations,Training,Expense,2026-07-12,09:01:01,2026-07-12 09:01:01,119379.62,INR,-119379.62,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1530 | Training | 119379.62,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1530,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Training,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1530 | Training | 119379.62,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1533,MTR-APK-1533,Business,Business,Team Operations,Tools,Expense,2026-07-26,02:00:14,2026-07-26 02:00:14,179976.83,INR,-179976.83,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1533 | Tools | 179976.83,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1533,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tools,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1533 | Tools | 179976.83,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1536,MTR-APK-1536,Business,Business,Business Runway,Funding,Income,2025-12-24,04:26:39,2025-12-24 04:26:39,88930.55,INR,88930.55,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1536 | Funding | 88930.55,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1536,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Funding,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1536 | Funding | 88930.55,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
1539,MTR-APK-1539,Business,Business,Business Runway,Revenue,Income,2025-12-20,10:09:29,2025-12-20 10:09:29,135392.72,INR,135392.72,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1539 | Revenue | 135392.72,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1539,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Revenue,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1539 | Revenue | 135392.72,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
1542,MTR-APK-1542,Business,Business,Business Runway,Burn,Expense,2026-02-21,11:45:05,2026-02-21 11:45:05,100165.2,INR,-100165.2,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1542 | Burn | 100165.20,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1542,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,business.expense.amount,business.expense.note,business.expense.submit,,Burn,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1542 | Burn | 100165.20,JOINED,Runway Log Expense
1545,MTR-APK-1545,Business,Business,Business Runway,Reserve,Transfer,2026-07-19,05:22:08,2026-07-19 05:22:08,141683.56,INR,0.0,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1545 | Reserve | 141683.56,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1545,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,,,,,Reserve,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1545 | Reserve | 141683.56,JOINED_REVIEW,Reserve transfer → Runway expense/movement proxy — REVIEW
1548,MTR-APK-1548,Business,Business,Business Runway,Loan,Income,2025-10-09,16:13:18,2025-10-09 16:13:18,161476.12,INR,161476.12,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1548 | Loan | 161476.12,Android,B31,RAMP_1501_2500,CREATED,idem-20260902-apk-1548,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Loan,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1548 | Loan | 161476.12,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
1551,MTR-APK-1551,Business,Business,Business Runway,Investment,Income,2025-10-20,09:42:54,2025-10-20 09:42:54,7986.59,INR,7986.59,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1551 | Investment | 7986.59,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1551,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Investment,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-1551 | Investment | 7986.59,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
1554,MTR-APK-1554,Business,Business,Business Operations,Software,Expense,2026-03-22,00:30:28,2026-03-22 00:30:28,0.01,INR,-0.01,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1554 | Software | 0.01,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1554,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Software,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1554 | Software | 0.01,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1557,MTR-APK-1557,Business,Business,Business Operations,Rent,Expense,2026-08-19,11:12:21,2026-08-19 11:12:21,14684.26,INR,-14684.26,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1557 | Rent | 14684.26,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1557,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Rent,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1557 | Rent | 14684.26,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1560,MTR-APK-1560,Business,Business,Business Operations,Marketing,Expense,2026-07-20,18:33:31,2026-07-20 18:33:31,156582.34,INR,-156582.34,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1560 | Marketing | 156582.34,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1560,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Marketing,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1560 | Marketing | 156582.34,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1563,MTR-APK-1563,Business,Business,Business Operations,Legal,Expense,2026-03-15,16:52:19,2026-03-15 16:52:19,35755.81,INR,-35755.81,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1563 | Legal | 35755.81,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1563,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Legal,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1563 | Legal | 35755.81,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1566,MTR-APK-1566,Business,Business,Business Operations,Accounting,Expense,2025-10-30,19:29:00,2025-10-30 19:29:00,55509.22,INR,-55509.22,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1566 | Accounting | 55509.22,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1566,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Accounting,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1566 | Accounting | 55509.22,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1569,MTR-APK-1569,Business,Business,Business Operations,Equipment,Expense,2025-10-28,12:36:56,2025-10-28 12:36:56,2207.07,INR,-2207.07,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1569 | Equipment | 2207.07,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1569,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Equipment,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1569 | Equipment | 2207.07,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1572,MTR-APK-1572,Business,Business,Business Operations,Vendor,Expense,2026-04-20,05:12:00,2026-04-20 05:12:00,132879.64,INR,-132879.64,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1572 | Vendor | 132879.64,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1572,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Vendor,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1572 | Vendor | 132879.64,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1575,MTR-APK-1575,Business,Business,Business Operations,Tax,Expense,2025-12-30,00:57:19,2025-12-30 00:57:19,8806.5,INR,-8806.5,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1575 | Tax | 8806.50,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1575,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tax,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1575 | Tax | 8806.50,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
1578,MTR-APK-1578,Business,Business,Team Operations,Payroll,Expense,2025-12-24,06:11:32,2025-12-24 06:11:32,107519.75,INR,-107519.75,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1578 | Payroll | 107519.75,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1578,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1578 | Payroll | 107519.75,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1581,MTR-APK-1581,Business,Business,Team Operations,Contractor,Expense,2026-03-17,03:18:21,2026-03-17 03:18:21,177618.4,INR,-177618.4,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1581 | Contractor | 177618.40,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1581,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Contractor,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1581 | Contractor | 177618.40,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1584,MTR-APK-1584,Business,Business,Team Operations,Hiring,Expense,2026-09-01,21:30:14,2026-09-01 21:30:14,109492.73,INR,-109492.73,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1584 | Hiring | 109492.73,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1584,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Hiring,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1584 | Hiring | 109492.73,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1587,MTR-APK-1587,Business,Business,Team Operations,Team Meal,Expense,2026-04-03,17:40:11,2026-04-03 17:40:11,104974.74,INR,-104974.74,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1587 | Team Meal | 104974.74,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1587,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Team Meal,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1587 | Team Meal | 104974.74,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
1590,MTR-APK-1590,Business,Business,Team Operations,Travel,Expense,2025-12-26,04:50:04,2025-12-26 04:50:04,85884.77,INR,-85884.77,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1590 | Travel | 85884.77,Android,B32,RAMP_1501_2500,CREATED,idem-20260902-apk-1590,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Travel,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1590 | Travel | 85884.77,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
