Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
2,MTR-IOS-0002,Group,Shared Experience,Trip,Travel,Expense,2026-01-01,17:33:29,2026-01-01 17:33:29,26868.32,INR,-26868.32,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-TRIP-0002 | Travel | 26868.32,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0002,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Travel,MAESTRO-IOS-GROUP-TRIP-0002 | Travel | 26868.32,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1337,MTR-IOS-1337,Group,Shared Living,Flatmates,Rent,Expense,2025-10-25,02:50:36,2025-10-25 02:50:36,22747.82,INR,-22747.82,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-FLATMATES-1337 | Rent | 22747.82,iPhone,B27,RAMP_501_1500,CREATED,idem-20260902-ios-1337,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Rent,MAESTRO-IOS-GROUP-FLATMATES-1337 | Rent | 22747.82,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1340,MTR-IOS-1340,Group,Shared Living,Flatmates,Utilities,Expense,2025-09-22,07:54:11,2025-09-22 07:54:11,9600.53,INR,-9600.53,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-FLATMATES-1340 | Utilities | 9600.53,iPhone,B27,RAMP_501_1500,CREATED,idem-20260902-ios-1340,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Utilities,MAESTRO-IOS-GROUP-FLATMATES-1340 | Utilities | 9600.53,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1343,MTR-IOS-1343,Group,Shared Living,Flatmates,Groceries,Expense,2025-11-08,08:20:40,2025-11-08 08:20:40,17672.09,INR,-17672.09,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-FLATMATES-1343 | Groceries | 17672.09,iPhone,B27,RAMP_501_1500,CREATED,idem-20260902-ios-1343,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Groceries,MAESTRO-IOS-GROUP-FLATMATES-1343 | Groceries | 17672.09,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1346,MTR-IOS-1346,Group,Shared Living,Flatmates,Internet,Expense,2025-10-17,13:51:23,2025-10-17 13:51:23,24654.24,INR,-24654.24,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-FLATMATES-1346 | Internet | 24654.24,iPhone,B27,RAMP_501_1500,CREATED,idem-20260902-ios-1346,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Internet,MAESTRO-IOS-GROUP-FLATMATES-1346 | Internet | 24654.24,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1349,MTR-IOS-1349,Group,Shared Living,Flatmates,House Supplies,Expense,2025-09-25,08:54:20,2025-09-25 08:54:20,20882.51,INR,-20882.51,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-FLATMATES-1349 | House Supplies | 20882.51,iPhone,B27,RAMP_501_1500,CREATED,idem-20260902-ios-1349,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,House Supplies,MAESTRO-IOS-GROUP-FLATMATES-1349 | House Supplies | 20882.51,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1352,MTR-IOS-1352,Group,Shared Living,Flatmates,Repairs,Expense,2026-07-24,03:27:44,2026-07-24 03:27:44,22704.5,INR,-22704.5,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-FLATMATES-1352 | Repairs | 22704.50,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1352,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Repairs,MAESTRO-IOS-GROUP-FLATMATES-1352 | Repairs | 22704.50,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1355,MTR-IOS-1355,Group,Shared Living,Shared Living,Rent,Expense,2026-03-08,06:32:52,2026-03-08 06:32:52,17232.77,INR,-17232.77,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-SHARED_LIVING-1355 | Rent | 17232.77,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1355,ios,G11,CO_LIVING,Expense,G11:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Rent,MAESTRO-IOS-GROUP-SHARED_LIVING-1355 | Rent | 17232.77,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1358,MTR-IOS-1358,Group,Shared Living,Shared Living,Utilities,Expense,2025-10-20,10:00:30,2025-10-20 10:00:30,9822.55,INR,-9822.55,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-SHARED_LIVING-1358 | Utilities | 9822.55,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1358,ios,G11,CO_LIVING,Expense,G11:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Utilities,MAESTRO-IOS-GROUP-SHARED_LIVING-1358 | Utilities | 9822.55,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1361,MTR-IOS-1361,Group,Shared Living,Shared Living,Groceries,Expense,2026-03-22,17:26:23,2026-03-22 17:26:23,146.12,INR,-146.12,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-SHARED_LIVING-1361 | Groceries | 146.12,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1361,ios,G11,CO_LIVING,Expense,G11:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Groceries,MAESTRO-IOS-GROUP-SHARED_LIVING-1361 | Groceries | 146.12,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1364,MTR-IOS-1364,Group,Shared Living,Shared Living,Maintenance,Expense,2026-04-20,23:51:15,2026-04-20 23:51:15,23784.02,INR,-23784.02,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-SHARED_LIVING-1364 | Maintenance | 23784.02,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1364,ios,G11,CO_LIVING,Expense,G11:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Maintenance,MAESTRO-IOS-GROUP-SHARED_LIVING-1364 | Maintenance | 23784.02,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1367,MTR-IOS-1367,Group,Shared Living,Shared Living,Other,Expense,2026-06-13,00:39:58,2026-06-13 00:39:58,15894.32,INR,-15894.32,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-SHARED_LIVING-1367 | Other | 15894.32,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1367,ios,G11,CO_LIVING,Expense,G11:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-IOS-GROUP-SHARED_LIVING-1367 | Other | 15894.32,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1370,MTR-IOS-1370,Group,Shared Living,Family Household,Groceries,Expense,2025-12-01,19:35:44,2025-12-01 19:35:44,18371.46,INR,-18371.46,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-1370 | Groceries | 18371.46,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1370,ios,G10,FAMILY_HOUSEHOLD,Expense,G10:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Groceries,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-1370 | Groceries | 18371.46,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1373,MTR-IOS-1373,Group,Shared Living,Family Household,Bills,Expense,2026-01-22,17:10:41,2026-01-22 17:10:41,2295.9,INR,-2295.9,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-1373 | Bills | 2295.90,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1373,ios,G10,FAMILY_HOUSEHOLD,Expense,G10:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Bills,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-1373 | Bills | 2295.90,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1376,MTR-IOS-1376,Group,Shared Living,Family Household,School,Expense,2026-07-11,17:33:50,2026-07-11 17:33:50,259.15,INR,-259.15,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-1376 | School | 259.15,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1376,ios,G10,FAMILY_HOUSEHOLD,Expense,G10:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,School,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-1376 | School | 259.15,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1379,MTR-IOS-1379,Group,Shared Living,Family Household,Healthcare,Expense,2025-10-05,10:17:31,2025-10-05 10:17:31,3885.47,INR,-3885.47,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-1379 | Healthcare | 3885.47,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1379,ios,G10,FAMILY_HOUSEHOLD,Expense,G10:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Healthcare,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-1379 | Healthcare | 3885.47,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1382,MTR-IOS-1382,Group,Shared Living,Family Household,Home,Expense,2026-01-02,14:50:35,2026-01-02 14:50:35,9385.7,INR,-9385.7,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-1382 | Home | 9385.70,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1382,ios,G10,FAMILY_HOUSEHOLD,Expense,G10:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Home,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-1382 | Home | 9385.70,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1385,MTR-IOS-1385,Group,Shared Living,Family Household,Other,Expense,2026-04-05,05:00:45,2026-04-05 05:00:45,23828.13,INR,-23828.13,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-1385 | Other | 23828.13,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1385,ios,G10,FAMILY_HOUSEHOLD,Expense,G10:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Other,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-1385 | Other | 23828.13,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1388,MTR-IOS-1388,Group,Shared Living,Custom Living,Custom Expense,Expense,2026-06-02,23:26:51,2026-06-02 23:26:51,14767.16,INR,-14767.16,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-CUSTOM_LIVING-1388 | Custom Expense | 14767.16,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1388,ios,G12,COMMUNITY_LIVING,Expense,G12:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Custom Expense,MAESTRO-IOS-GROUP-CUSTOM_LIVING-1388 | Custom Expense | 14767.16,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1391,MTR-IOS-1391,Group,Shared Living,Custom Living,Custom Contribution,Contribution,2025-10-03,22:45:08,2025-10-03 22:45:08,18690.48,INR,18690.48,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-CUSTOM_LIVING-1391 | Custom Contribution | 18690.48,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1391,ios,G12,COMMUNITY_LIVING,Contribute,G12:Contribute,,qa.tile.contribute,group.contribute.amount,group.contribute.note,group.contribute.submit,group.expense.split.shares,Custom Contribution,MAESTRO-IOS-GROUP-CUSTOM_LIVING-1391 | Custom Contribution | 18690.48,SKIP_CAPABILITY_GAP,Custom Living hub has no Contribution tile (same as Family Household)
1394,MTR-IOS-1394,Group,Shared Experience,Trip,Travel,Expense,2026-02-12,07:40:34,2026-02-12 07:40:34,2363.29,INR,-2363.29,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-TRIP-1394 | Travel | 2363.29,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1394,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Travel,MAESTRO-IOS-GROUP-TRIP-1394 | Travel | 2363.29,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1397,MTR-IOS-1397,Group,Shared Experience,Trip,Stay,Expense,2025-09-15,06:36:56,2025-09-15 06:36:56,10519.81,INR,-10519.81,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-TRIP-1397 | Stay | 10519.81,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1397,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Stay,MAESTRO-IOS-GROUP-TRIP-1397 | Stay | 10519.81,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1400,MTR-IOS-1400,Group,Shared Experience,Trip,Food,Expense,2025-09-25,07:11:24,2025-09-25 07:11:24,2918.05,INR,-2918.05,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-TRIP-1400 | Food | 2918.05,iPhone,B28,RAMP_501_1500,CREATED,idem-20260902-ios-1400,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Food,MAESTRO-IOS-GROUP-TRIP-1400 | Food | 2918.05,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1403,MTR-IOS-1403,Group,Shared Experience,Trip,Local Transport,Expense,2026-03-14,19:16:48,2026-03-14 19:16:48,26944.97,INR,-26944.97,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-TRIP-1403 | Local Transport | 26944.97,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1403,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Local Transport,MAESTRO-IOS-GROUP-TRIP-1403 | Local Transport | 26944.97,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1406,MTR-IOS-1406,Group,Shared Experience,Trip,Activities,Expense,2026-03-31,03:19:33,2026-03-31 03:19:33,99.99,INR,-99.99,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-TRIP-1406 | Activities | 99.99,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1406,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Activities,MAESTRO-IOS-GROUP-TRIP-1406 | Activities | 99.99,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1409,MTR-IOS-1409,Group,Shared Experience,Trip,Shopping,Expense,2025-11-29,03:29:48,2025-11-29 03:29:48,26263.92,INR,-26263.92,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-TRIP-1409 | Shopping | 26263.92,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1409,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Shopping,MAESTRO-IOS-GROUP-TRIP-1409 | Shopping | 26263.92,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1412,MTR-IOS-1412,Group,Shared Experience,Trip,Other,Expense,2025-11-11,04:21:05,2025-11-11 04:21:05,6590.71,INR,-6590.71,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-TRIP-1412 | Other | 6590.71,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1412,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Other,MAESTRO-IOS-GROUP-TRIP-1412 | Other | 6590.71,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1415,MTR-IOS-1415,Group,Shared Experience,Wedding,Venue,Expense,2025-10-04,01:11:55,2025-10-04 01:11:55,10941.78,INR,-10941.78,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-WEDDING-1415 | Venue | 10941.78,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1415,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Venue,MAESTRO-IOS-GROUP-WEDDING-1415 | Venue | 10941.78,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1418,MTR-IOS-1418,Group,Shared Experience,Wedding,Catering,Expense,2026-08-02,19:08:46,2026-08-02 19:08:46,20985.69,INR,-20985.69,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-WEDDING-1418 | Catering | 20985.69,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1418,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Catering,MAESTRO-IOS-GROUP-WEDDING-1418 | Catering | 20985.69,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1421,MTR-IOS-1421,Group,Shared Experience,Wedding,Decor,Expense,2026-05-05,05:11:39,2026-05-05 05:11:39,14140.94,INR,-14140.94,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-WEDDING-1421 | Decor | 14140.94,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1421,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Decor,MAESTRO-IOS-GROUP-WEDDING-1421 | Decor | 14140.94,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1424,MTR-IOS-1424,Group,Shared Experience,Wedding,Travel,Expense,2026-02-12,23:37:11,2026-02-12 23:37:11,15808.58,INR,-15808.58,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-WEDDING-1424 | Travel | 15808.58,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1424,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Travel,MAESTRO-IOS-GROUP-WEDDING-1424 | Travel | 15808.58,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1427,MTR-IOS-1427,Group,Shared Experience,Wedding,Gifts,Expense,2025-09-27,01:47:31,2025-09-27 01:47:31,10018.24,INR,-10018.24,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-WEDDING-1427 | Gifts | 10018.24,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1427,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Gifts,MAESTRO-IOS-GROUP-WEDDING-1427 | Gifts | 10018.24,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1430,MTR-IOS-1430,Group,Shared Experience,Wedding,Photography,Expense,2026-05-18,15:55:33,2026-05-18 15:55:33,25495.56,INR,-25495.56,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-WEDDING-1430 | Photography | 25495.56,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1430,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Photography,MAESTRO-IOS-GROUP-WEDDING-1430 | Photography | 25495.56,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1433,MTR-IOS-1433,Group,Shared Experience,Wedding,Other,Expense,2026-04-23,00:08:20,2026-04-23 00:08:20,18890.95,INR,-18890.95,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-WEDDING-1433 | Other | 18890.95,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1433,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Other,MAESTRO-IOS-GROUP-WEDDING-1433 | Other | 18890.95,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1436,MTR-IOS-1436,Group,Shared Experience,Office Outing,Food,Expense,2026-01-05,12:19:41,2026-01-05 12:19:41,7643.85,INR,-7643.85,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-OFFICE_OUTING-1436 | Food | 7643.85,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1436,ios,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Food,MAESTRO-IOS-GROUP-OFFICE_OUTING-1436 | Food | 7643.85,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1439,MTR-IOS-1439,Group,Shared Experience,Office Outing,Travel,Expense,2026-04-01,18:32:22,2026-04-01 18:32:22,21421.08,INR,-21421.08,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-OFFICE_OUTING-1439 | Travel | 21421.08,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1439,ios,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Travel,MAESTRO-IOS-GROUP-OFFICE_OUTING-1439 | Travel | 21421.08,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1442,MTR-IOS-1442,Group,Shared Experience,Office Outing,Activities,Expense,2026-01-15,16:24:11,2026-01-15 16:24:11,8052.1,INR,-8052.1,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-OFFICE_OUTING-1442 | Activities | 8052.10,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1442,ios,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Activities,MAESTRO-IOS-GROUP-OFFICE_OUTING-1442 | Activities | 8052.10,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1445,MTR-IOS-1445,Group,Shared Experience,Office Outing,Venue,Expense,2026-01-07,06:12:41,2026-01-07 06:12:41,24822.94,INR,-24822.94,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-OFFICE_OUTING-1445 | Venue | 24822.94,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1445,ios,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Venue,MAESTRO-IOS-GROUP-OFFICE_OUTING-1445 | Venue | 24822.94,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1448,MTR-IOS-1448,Group,Shared Experience,Office Outing,Other,Expense,2026-01-30,03:55:13,2026-01-30 03:55:13,18142.22,INR,-18142.22,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-OFFICE_OUTING-1448 | Other | 18142.22,iPhone,B29,RAMP_501_1500,CREATED,idem-20260902-ios-1448,ios,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Other,MAESTRO-IOS-GROUP-OFFICE_OUTING-1448 | Other | 18142.22,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1451,MTR-IOS-1451,Group,Shared Experience,House Party,Food,Expense,2026-04-17,10:29:37,2026-04-17 10:29:37,9443.41,INR,-9443.41,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-HOUSE_PARTY-1451 | Food | 9443.41,iPhone,B30,RAMP_501_1500,CREATED,idem-20260902-ios-1451,ios,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Food,MAESTRO-IOS-GROUP-HOUSE_PARTY-1451 | Food | 9443.41,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1454,MTR-IOS-1454,Group,Shared Experience,House Party,Drinks,Expense,2025-09-27,07:07:39,2025-09-27 07:07:39,4058.01,INR,-4058.01,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-HOUSE_PARTY-1454 | Drinks | 4058.01,iPhone,B30,RAMP_501_1500,CREATED,idem-20260902-ios-1454,ios,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Drinks,MAESTRO-IOS-GROUP-HOUSE_PARTY-1454 | Drinks | 4058.01,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
1457,MTR-IOS-1457,Group,Shared Experience,House Party,Decor,Expense,2026-02-10,17:04:19,2026-02-10 17:04:19,5922.86,INR,-5922.86,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-HOUSE_PARTY-1457 | Decor | 5922.86,iPhone,B30,RAMP_501_1500,CREATED,idem-20260902-ios-1457,ios,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Decor,MAESTRO-IOS-GROUP-HOUSE_PARTY-1457 | Decor | 5922.86,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
